id;lieu;prix;description;photo_pieces;photo_pieces_content_type
1;brave;16266.15;passager ouille;../fake-data/blob/hipster.png;image/png
2;tellement;28933.33;même si triangulaire;../fake-data/blob/hipster.png;image/png
3;diablement entre fonctionnaire;24567.17;porte-parole;../fake-data/blob/hipster.png;image/png
4;délectable;11373.08;combien à la faveur de;../fake-data/blob/hipster.png;image/png
5;d'entre commissionnaire concernant;7503;quant à;../fake-data/blob/hipster.png;image/png
6;antique tantôt;12430.74;âcre;../fake-data/blob/hipster.png;image/png
7;au-dehors;13088.19;dépenser chef camarade;../fake-data/blob/hipster.png;image/png
8;foule;17802.41;ailleurs ha ha;../fake-data/blob/hipster.png;image/png
9;d’autant que toutefois ouf;9705.38;de façon à ce que triangulaire;../fake-data/blob/hipster.png;image/png
10;adopter amorphe extatique;6633.96;sitôt sauf à ouch;../fake-data/blob/hipster.png;image/png
