id;type;marque;datevol;photo_objet;photo_objet_content_type;numero_serie
1;rédaction;de sorte que plaire;2024-06-15;../fake-data/blob/hipster.png;image/png;au moyen de smack mairie
2;puisque atchoum large;du moment que;2024-06-15;../fake-data/blob/hipster.png;image/png;d'après miam à condition que
3;en decà de;mériter;2024-06-15;../fake-data/blob/hipster.png;image/png;émérite bon réciter
4;outre paf;gai différer;2024-06-15;../fake-data/blob/hipster.png;image/png;contenir
5;vlan patientèle;au-dessous de après que poser;2024-06-14;../fake-data/blob/hipster.png;image/png;avex
6;pendre;troubler direction adepte;2024-06-15;../fake-data/blob/hipster.png;image/png;beaucoup ferme
7;sale;novice espiègle;2024-06-15;../fake-data/blob/hipster.png;image/png;malade déjà rédaction
8;au moyen de dès;apte membre titulaire rapide;2024-06-14;../fake-data/blob/hipster.png;image/png;coordonner débarrasser décrocher
9;à force de ouin;atchoum hebdomadaire;2024-06-14;../fake-data/blob/hipster.png;image/png;oui confirmer en dépit de
10;ronron encore être;prout svelte à demi;2024-06-14;../fake-data/blob/hipster.png;image/png;vers clac environ
