id;date;heuredepart;heurearrivee;lieudepart;lieuarrivee;nombreplace;prixplace;image_vehicule;image_vehicule_content_type
1;2024-06-14;monter;vétuste charger hors de;aussi;pendant;21445;28941.53;../fake-data/blob/hipster.png;image/png
2;2024-06-15;tant que dans la mesure où;quasi lors de corps enseignant;membre du personnel délégation;tant que commis de cuisine avant de;20266;20565.3;../fake-data/blob/hipster.png;image/png
3;2024-06-14;large absolument vivace;secours ensemble contredire;entre-temps;hôte que;30990;30184.02;../fake-data/blob/hipster.png;image/png
4;2024-06-15;pendant que tranquille toc;de manière à;sauvegarder;au point que avant-hier;16595;12160.46;../fake-data/blob/hipster.png;image/png
5;2024-06-14;pour que dense téméraire;près;trier durer prêter;visiter signifier;31966;16281.07;../fake-data/blob/hipster.png;image/png
6;2024-06-14;ensuite personnel professionnel;entre aimable;population du Québec;limiter cuicui;21994;25337.96;../fake-data/blob/hipster.png;image/png
7;2024-06-14;éclater tsoin-tsoin sage;cependant étudier commissionnaire;euh triathlète;caresser chut susciter;32697;19327.99;../fake-data/blob/hipster.png;image/png
8;2024-06-15;lever;même si svelte;administration;certes rectangulaire;14885;32312.47;../fake-data/blob/hipster.png;image/png
9;2024-06-15;en dedans de membre à vie;selon;davantage;terne incalculable boum;4112;17627.24;../fake-data/blob/hipster.png;image/png
10;2024-06-15;oups du côté de sale;membre de l’équipe;vorace rectangulaire;tout près énoncer;18362;9044.16;../fake-data/blob/hipster.png;image/png
