id;titre;description;type;statut;datecreation
1;de façon que;police;rapide;ding;2024-06-11T22:25:55
2;contredire en plus de;débattre;à l'encontre de;devant triste éveiller;2024-06-12T01:19:14
3;alors;commissionnaire athlète;ailleurs;direction comment police;2024-06-11T15:38:46
4;à défaut de ;au-dessous de charitable avant que;triathlète pin-pon;dring à l'instar de;2024-06-11T17:26:44
5;si bien que;commissionnaire au point que;serviable athlète;vu que présidence;2024-06-11T18:39:57
6;intrépide;à l'entour de;porte-parole;prou crac confronter;2024-06-12T01:10:14
7;garder quelquefois malade;avant miam;avant;sitôt que;2024-06-11T12:59:21
8;aussitôt que;extrêmement plouf bof;à l'insu de sale au défaut de;dissiper;2024-06-11T13:45:56
9;lors emporter;blême;de sorte que;croître aux alentours de;2024-06-11T21:42:28
10;adresser;super bof;vide faciliter;brusque;2024-06-11T11:28:32
