id;datedebut;datefin;prix
1;2024-06-11T13:55:42;2024-06-11T11:27:54;30181.15
2;2024-06-12T09:05:21;2024-06-11T21:54:09;21673.05
3;2024-06-11T21:05:46;2024-06-12T03:07:21;2781.17
4;2024-06-11T11:07:06;2024-06-11T18:26:45;14704.17
5;2024-06-11T13:24:02;2024-06-12T07:46:23;956.02
6;2024-06-12T05:17:34;2024-06-11T18:15:04;14035.73
7;2024-06-11T16:42:53;2024-06-12T10:17:22;32717.13
8;2024-06-11T20:35:31;2024-06-11T12:36:19;20706.11
9;2024-06-12T10:31:09;2024-06-11T19:47:09;870.41
10;2024-06-12T05:45:44;2024-06-11T13:36:34;19747.95
