id;date;heuredepart;heurearrivee;lieudepart;lieuarrivee;nombreplace;prixplace;marque_vehicule
1;2024-06-12T02:57:01;2024-06-11T15:47:41;2024-06-11T23:24:41;à l'exception de brave sale;de façon à altruiste;8339;907.18;de crainte que
2;2024-06-12T10:38:36;2024-06-11T14:10:48;2024-06-12T09:12:21;afin de ci fonctionnaire;police;29398;8778.58;sans que au-devant
3;2024-06-11T17:29:26;2024-06-11T18:01:34;2024-06-12T00:54:34;nonobstant;administration;29941;9811.01;réserver large initier
4;2024-06-11T21:36:35;2024-06-11T20:19:40;2024-06-12T00:27:49;installer;vraisemblablement depuis tantôt;17262;6284.2;outre par suite de
5;2024-06-12T09:14:54;2024-06-11T15:35:42;2024-06-12T04:03:50;détacher;novice regretter;29014;29188.03;partenaire
6;2024-06-11T21:34:10;2024-06-11T14:05:59;2024-06-12T02:36:30;fidèle après que retarder;oups à l'encontre de bof;32548;11628.09;si soit guide
7;2024-06-12T06:31:59;2024-06-12T07:35:54;2024-06-11T17:56:12;à l'exception de novice;toc;26200;6842.66;tant de façon que lécher
8;2024-06-11T22:51:44;2024-06-12T06:00:39;2024-06-12T04:07:34;classer combiner;délectable doucement ici;23343;27696.65;pschitt vu que
9;2024-06-12T00:32:37;2024-06-11T21:25:30;2024-06-11T22:12:10;au-dessous afin que bang;vorace comment;2835;20945.97;espiègle ouf
10;2024-06-11T15:46:50;2024-06-11T10:55:35;2024-06-12T02:56:51;large responsable quoique;de manière à hé;26106;24116.3;où
